1288971935.645, 3.6063438, -1.9123835, 1.44919633, 7.16, 0.192, 1.78, -2.44
1288971936.312, 3.6186737, -1.8124992, 1.43839633, 6.877, 0.2, 1.78, -2.44
1288971938.983, 3.6695708, -1.4126522, 1.45799633, 6.554, 0.212, 1.78, -2.44
1288971940.507, 3.6986555, -1.1832661, 1.46209633, 6.261, 0.221, 1.78, -2.44
1288971941.395, 3.7157162, -1.0496673, 1.46029633, 6.14, 0.226, 1.78, -2.44
1288971942.058, 3.7277647, -0.9483227, 1.45099633, 6.079, 0.231, 1.78, -2.44
1288971942.488, 3.7362423, -0.8843467, 1.44859633, 5.993, 0.234, 1.78, -2.44
1288971944.041, 3.7656019, -0.6523696, 1.45569633, 5.747, 0.246, 1.78, -2.44
1288971944.475, 3.773585, -0.5862484, 1.45409633, 5.747, 0.25, 1.78, -2.44
1288971944.91, 3.7822868, -0.5205963, 1.45419633, 5.632, 0.254, 1.78, -2.44
1288971945.142, 3.7870051, -0.4879362, 1.45499633, 5.632, 0.254, 1.78, -2.44
1288971945.794, 3.7988456, -0.3875275, 1.45479633, 5.521, 0.258, 1.78, -2.44
1288971946.027, 3.8039308, -0.3527264, 1.46129633, 5.521, 0.259, 1.78, -2.44
1288971947.095, 3.7878024, -0.2049103, 1.80389633, 5.414, -0.092, 1.78, -2.44
1288971947.331, 3.7790079, -0.1692776, 1.80599633, 5.414, -0.095, 1.78, -2.44
1288971947.78, 3.7643197, -0.1036092, 1.80949633, 5.414, -0.089, 1.78, -2.44
1288971948.214, 3.748979, -0.0390885, 1.81159633, 5.312, -0.095, 1.78, -2.44
1288971948.865, 3.7276206, 0.0558408, 1.80639633, 5.214, -0.095, 1.78, -2.44
1288971949.082, 3.7199316, 0.0871165, 1.80639633, 5.119, -0.099, 1.78, -2.44
1288971949.299, 3.7118536, 0.1196343, 1.80579633, 5.119, -0.092, 1.78, -2.44
1288971949.515, 3.7042531, 0.1523824, 1.80479633, 5.043, -0.097, 1.78, -2.44
1288971949.949, 3.6891568, 0.216624, 1.80739633, 5.028, -0.101, 1.78, -2.44
1288971950.167, 3.6810053, 0.2489065, 1.80569633, 5.028, -0.101, 1.78, -2.44
1288971950.601, 3.6661481, 0.3129333, 1.80679633, 4.854, -0.105, 1.78, -2.44
1288971951.034, 3.6510971, 0.3772663, 1.80689633, 4.854, -0.107, 1.78, -2.44
1288971951.251, 3.6440488, 0.4089585, 1.80709633, 4.772, -0.108, 1.78, -2.44
1288971951.469, 3.6360999, 0.4414287, 1.80599633, 4.772, -0.104, 1.78, -2.44
1288971951.685, 3.6277198, 0.4734346, 1.80399633, 4.772, -0.109, 1.78, -2.44
1288971952.336, 3.6034835, 0.569326, 1.79209633, 4.642, -0.106, 1.78, -2.44
1288971952.556, 3.595966, 0.6013194, 1.79489633, 4.625, -0.106, 1.78, -2.44
1288971953.204, 3.5729417, 0.6977828, 1.80089633, 4.542, -0.105, 1.78, -2.44
1288971954.056, 3.5412876, 0.8234141, 1.79869633, 4.334, -0.12, 1.78, -2.44
1288971954.49, 3.5265699, 0.8871983, 1.80239633, 4.334, -0.12, 1.78, -2.44
1288971954.707, 3.518997, 0.9184547, 1.80099633, 4.269, -0.122, 1.78, -2.44
1288971954.924, 3.5114228, 0.9515681, 1.80219633, 4.269, -0.12, 1.78, -2.44
1288971955.141, 3.5040114, 0.981966, 1.79999633, 4.258, -0.121, 1.78, -2.44
1288971955.575, 3.489127, 1.0468565, 1.80339633, 4.135, -0.124, 1.78, -2.44
1288971956.009, 3.4742318, 1.1110743, 1.80239633, 4.08, -0.123, 1.78, -2.44
1288971956.216, 3.4667946, 1.1421028, 1.80519633, 4.027, -0.127, 1.78, -2.44
1288971956.643, 3.4521699, 1.2040827, 1.80439633, 3.971, -0.118, 1.78, -2.44
1288971957.077, 3.4360641, 1.2688283, 1.80549633, 3.916, -0.131, 1.78, -2.44
1288971957.327, 3.427408, 1.3060983, 1.80609633, 3.863, -0.129, 1.78, -2.44
1288971957.544, 3.419818, 1.3383671, 1.80879633, 3.821, -0.129, 1.78, -2.44
1288971957.761, 3.4123665, 1.3693328, 1.80749633, 3.811, -0.124, 1.78, -2.44
1288971957.962, 3.4058377, 1.3996958, 1.81029633, 3.767, -0.134, 1.78, -2.44
1288971958.178, 3.3976214, 1.4314204, 1.81239633, 3.761, -0.137, 1.78, -2.44
1288971958.396, 3.3898241, 1.4643314, 1.81069633, 3.728, -0.135, 1.78, -2.44
1288971958.612, 3.3820271, 1.4952776, 1.80819633, 3.679, -0.137, 1.78, -2.44
1288971958.83, 3.3748711, 1.5273438, 1.81019633, 3.626, -0.139, 1.78, -2.44
1288971959.047, 3.3665568, 1.5604615, 1.81049633, 3.618, -0.14, 1.78, -2.44
1288971959.28, 3.3585512, 1.5942761, 1.81059633, 3.576, -0.143, 1.78, -2.44
1288971959.497, 3.3506297, 1.6268907, 1.81279633, 3.531, -0.145, 1.78, -2.44
1288971959.714, 3.3420918, 1.6593902, 1.81219633, 3.529, -0.144, 1.78, -2.44
1288971959.931, 3.3338578, 1.6916595, 1.81039633, 3.497, -0.14, 1.78, -2.44
1288971960.148, 3.3265254, 1.7236819, 1.80999633, 3.449, -0.146, 1.78, -2.44
1288971960.382, 3.3185807, 1.7576692, 1.81209633, 3.407, -0.147, 1.78, -2.44
1288971960.599, 3.3108056, 1.7902152, 1.81199633, 3.362, -0.151, 1.78, -2.44
