v w dx dy dz dt x y th
0.0 0.0 -0.0006116672499980236 -0.0002458335677795484 0.0 0.11999988555908203 0.9803952 -4.992337 1.44859633
0.0 0.0 0.00016583316200295044 -0.0001441665177186427 -0.0008333324723781509 0.12000012397766113 0.9803218 -4.9923665 1.44859633
0.0 0.0 0.00019083351532675464 0.00022916688521596503 -0.001666668256125193 0.11999988555908203 0.9803417 -4.9923838 1.44849633
0.0 0.0 -5.833327306630404e-05 0.0001866664738106926 0.0033333298895126037 0.12000012397766113 0.9803646 -4.9923563 1.44829633
0.0 0.0 -6.1666725477487e-05 0.00011583344379988119 -0.003333336512250386 0.11999988555908203 0.9803576 -4.9923339 1.44869633
0.0 0.0 -8.225801643516987e-05 -0.0003677417205349646 0.0032258045660973115 0.12400007247924805 0.9803502 -4.99232 1.44829633
0.0 0.0 0.00025042025636992334 9.159667095729597e-05 -0.0025210092923170315 0.11899995803833008 0.98034 -4.9923656 1.44869633
0.0 0.0 -6.446278248158057e-05 0.00024628088691739595 0.001652891858501407 0.12100005149841309 0.9803698 -4.9923547 1.44839633
0.0 0.0 -4.628097203754026e-05 -0.0001495867131954839 -0.001652891858501407 0.12100005149841309 0.980362 -4.9923249 1.44859633
0.0 0.0 -2.9059862695079426e-05 -0.0002538464476592329 0.0025641055319284853 0.11699986457824707 0.9803564 -4.992343 1.44839633
0.0 0.0 7.37705044892829e-05 0.00036393448881816374 -0.0016393445442196336 0.12199997901916504 0.980353 -4.9923727 1.44869633
0.0 0.0 0.00017288131122129307 -0.00013983047231185192 0.000847457407946113 0.11800003051757812 0.980362 -4.9923283 1.44849633
0.0 0.0 6.39344372245912e-05 -0.0004631148337449495 0.0 0.12199997901916504 0.9803824 -4.9923448 1.44859633
0.0 0.0 -0.0006133326996704449 0.0006649993129575313 0.0016666649447563018 0.12000012397766113 0.9803902 -4.9924013 1.44859633
0.0 0.0 0.0006016672404609838 -0.0011300010776540428 -0.0025000023841877895 0.11999988555908203 0.9803166 -4.9923215 1.44879633
0.0 0.0 -0.0005855930688902617 0.0013677962564296968 0.003389829631784452 0.11800003051757812 0.9803888 -4.9924571 1.44849633
0.0 0.0 0.0007516658900845851 -0.0009724989952688567 -0.0033333298895126037 0.12000012397766113 0.9803197 -4.9922957 1.44889633
0.0 0.0 -0.00038416703303638145 0.0005083338181152788 0.001666668256125193 0.11999988555908203 0.9804099 -4.9924124 1.44849633
0.0 0.0 0.0005599994214385541 -0.0010624989022790432 -0.0016666649447563018 0.12000012397766113 0.9803638 -4.9923514 1.44869633
0.0 0.0 -0.0010225820136021677 0.0014838729534907035 0.004032263460572953 0.12399983406066895 0.980431 -4.9924789 1.44849633
0.0 0.0 0.000955931956163524 -0.0011838979989014931 -0.0042372870397305645 0.11800003051757812 0.9803042 -4.9922949 1.44899633
0.0 0.0 -0.0004926230355381145 0.0005016394305329478 0.0016393445442196336 0.12199997901916504 0.980417 -4.9924346 1.44849633
0.0 0.0 0.0007771184430869074 -0.0012923725471217268 -0.0042372870397305645 0.11800003051757812 0.9803569 -4.9923734 1.44869633
0.0 0.0 -0.000809836204844215 0.001261475626783846 0.006557378176878534 0.12199997901916504 0.9804486 -4.9925259 1.44819633
0.0 0.0 0.0004161015873008509 -1.6949148161293245e-05 -0.0042372870397305645 0.11800003051757812 0.9803498 -4.992372 1.44899633
0.0 0.0 -0.0003508197324631181 0.00021885249665554336 0.0008196722721098168 0.12199997901916504 0.9803989 -4.992374 1.44849633
0.0 0.0 0.00030499968489088063 -0.001279165345105467 0.0 0.12000012397766113 0.9803561 -4.9923473 1.44859633
0.0 0.0 -0.0002050001955037651 0.001280001220704089 0.001666668256125193 0.11999988555908203 0.9803927 -4.9925008 1.44859633
0.0 0.0 0.0004633328546426738 -0.000894999075334989 -0.0016666649447563018 0.12000012397766113 0.9803681 -4.9923472 1.44879633
0.0 0.0 -0.0006900006580363183 0.0008391674669587405 0.0025000023841877895 0.11999988555908203 0.9804237 -4.9924546 1.44859633
0.0 0.0 0.0004791661716178531 -0.0005599994214320779 -0.0033333298895126037 0.12000012397766113 0.9803409 -4.9923539 1.44889633
0.0 0.0 5.084744447823453e-06 -0.00019661011864541004 0.002542372223838339 0.11800003051757812 0.9803984 -4.9924211 1.44849633
0.0 0.0 9.590165583643178e-05 5.901640358997029e-05 -0.0016393445442196336 0.12199997901916504 0.980399 -4.9924443 1.44879633
0.0 0.0 -0.00012166678269695035 0.0003850003671640055 -0.0008333341280625965 0.11999988555908203 0.9804107 -4.9924371 1.44859633
0.0 0.0 0.00015333317491737994 -0.0004274995583298416 0.0016666649447563018 0.12000012397766113 0.9803961 -4.9923909 1.44849633
0.0 0.0 -0.00039250037431724793 0.0007175006842608649 0.0008333341280625965 0.11999988555908203 0.9804145 -4.9924422 1.44869633
0.0 0.0 -4.749995092553795e-05 -0.0012366653890060156 0.0 0.12000012397766113 0.9803674 -4.9923561 1.44879633
0.0 0.0 0.0003950003767019705 0.0007508340493806303 -0.004166670640312982 0.11999988555908203 0.9803617 -4.9925045 1.44879633
0.0 0.0 -3.166669686636756e-05 -0.0004158337298999734 0.003333336512250386 0.11999988555908203 0.9804091 -4.9924144 1.44829633
0.0 0.0 -0.00042999955574751076 0.001455831829241782 0.0008333324723781509 0.12000012397766113 0.9804053 -4.9924643 1.44869633
0.0 0.0 -0.0005649994162720422 0.0011166655129874995 0.0016666649447563018 0.12000012397766113 0.9804065 -4.9924807 1.44869633
0.0 0.0 0.00044032232327245854 -0.0005967738447326943 -0.002419353424572984 0.12400007247924805 0.9803387 -4.9923467 1.44889633
0.0 0.0 -2.000001907407963e-05 -0.0003275003123292647 0.0 0.11999988555908203 0.9803933 -4.9924207 1.44859633
